insert into Employees (eid, phone, name, address, email, join_date) values
((1,'70135510',"Lee","209-2932 Aliquam Road","adipiscing.elit.Etiam@erosNam.edu","22-03-20"),
(2,"29284051","Aladdin","239-4617 A, Ave","gravida.molestie.arcu@lectus.org","21-03-25"),
(3,"80099935","Walter","P.O. Box 256, 3619 Dapibus St.","Donec@eulacus.org","21-12-29"),
(4,"44508629","Evan","Ap #874-2283 Amet Rd.","eget@aliquet.org","20-06-20"),
(5,"18228916","Wanda","923-1683 Egestas Ave","in@Morbivehicula.edu","20-08-05"),
(6,"87993859","Raymond","4938 Mauris Avenue","non.lacinia@tinciduntnuncac.co.uk","22-02-24"),
(7,"99407414","Marshall","Ap #972-1936 Nam Street","Mauris@Etiam.co.uk","21-04-24"),
(8,"12693607","Timothy","2808 Accumsan Rd.","rutrum@musProin.net","20-06-20"),
(9,"80786010","Oleg","810-8561 Lorem Rd.","In.at.pede@aliquameuaccumsan.net","21-06-13"),
(10,"58592920","Deirdre","3753 Cum Road","amet.risus@Maecenasmalesuadafringilla.co.uk","20-06-30"),
(11,"55748972","Jarrod","7717 Ac Rd.","Nulla.aliquet@maurisrhoncusid.ca","22-02-05"),
(12,"71417334","Micah","1361 Justo. Ave","eu.ultrices@eratnonummyultricies.ca","20-11-27"),
(13,"30235510","Camden","P.O. Box 423, 5942 Lorem Rd.","sed.libero@elementumpurusaccumsan.edu","22-02-23"),
(14,"16852887","Lucius","2933 Ante St.","Aliquam.erat@pedeetrisus.co.uk","22-03-09"),
(15,"11861497","Leonard","P.O. Box 804, 4447 Mauris St.","vitae@suscipit.edu","21-04-26"),
(16,"16399407","Sylvia","487-1468 Cras Av.","et.magnis@etmagnis.co.uk","21-03-08"),
(17,"76315326","Danielle","639-6521 Mauris Ave","montes@duiFuscediam.net","20-05-25"),
(18,"64836653","Fletcher","P.O. Box 106, 1290 Ornare, Avenue","nascetur@atsemmolestie.ca","21-03-02"),
(19,"76601696","Keaton","299-3992 Integer Road","Sed@dolor.net","21-09-14"),
(20,"49275345","Lavinia","110-8627 Lorem Street","egestas.Fusce.aliquet@lorem.net","20-09-26"),
(21,"57647664","Lars","721-5065 Urna. Avenue","penatibus.et.magnis@Praesenteu.com","20-07-24"),
(22,"55962752","Evan","137-9761 Ac Street","enim.Etiam.imperdiet@vitae.ca","22-02-26"),
(23,"85237027","Carly","Ap #609-9120 Mollis Ave","non.justo@aliquetmolestie.ca","22-01-19"),
(24,"74666924","Brynn","Ap #126-7452 Enim Street","dis@semperduilectus.ca","20-09-06"),
(25,"27196191","Boris","Ap #159-8671 Id Ave","a@tinciduntnibhPhasellus.org","20-11-23"),
